City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Lazaro Cardenas,MX,84.65,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
379,Muncar,ID,77.07,overcast clouds,-8.4333,114.3333,Zaky Homestay
380,Pahrump,US,79.45,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
381,Lumut,MY,82.42,light rain,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
385,Pascagoula,US,88.56,broken clouds,30.3658,-88.5561,Regency Inn
386,Hamilton,US,87.66,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
389,Trat,TH,84.87,broken clouds,12.5,102.5,สวนหนิง-อัศ
390,Port Moresby,PG,76.66,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
391,Clearwater,US,89.04,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
392,Bafia,CM,83.28,broken clouds,4.75,11.2333,Hotel born beyem
393,Eyl,SO,88.09,broken clouds,7.9803,49.8164,Amiin Hotel
395,Jilib,SO,78.13,overcast clouds,0.4883,42.7854,Waadi Hotel
396,Kathu,TH,86.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
397,Muli,MV,83.57,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
405,Chake Chake,TZ,77.61,broken clouds,-5.2459,39.7666,Hotel Archipelago
406,Vega De Alatorre,MX,86.11,overcast clouds,20.0333,-96.6333,Hotel D Luxe
407,Parrita,CR,78.42,overcast clouds,9.5201,-84.3225,Beso del Viento
414,Kieta,PG,78.12,few clouds,-6.2167,155.6333,Uruna Bay Retreat
415,Afumati,RO,84.06,few clouds,44.5167,26.2667,HOTEL CRISTIAN
417,Coahuayana,MX,85.82,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
420,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
426,Mwene-Ditu,CD,86.2,clear sky,-7.0,23.45,African'zuri
430,Orahovac,XK,80.46,broken clouds,42.3994,20.6547,Esra Palace
431,Shieli,KZ,86.11,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
432,Touros,BR,84.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
433,Sochi,RU,78.89,overcast clouds,43.6,39.7303,Bounty Hotel
434,Libreville,GA,81.37,light rain,0.3925,9.4537,Le Méridien Re-Ndama
447,Tautira,PF,79.09,overcast clouds,-17.7333,-149.15,Pension Oaoa
453,Taveta,KE,76.35,overcast clouds,-3.3963,37.6736,Challa Hotel
459,Redlands,US,81.93,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
