City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Pathein,MM,16.7833,94.7333,79.45,89,97,4.41,overcast clouds
265,Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,96,7.0,overcast clouds
266,Paamiut,GL,61.994,-49.6678,35.6,80,13,32.84,few clouds
267,Anchorage,US,61.2181,-149.9003,54.68,81,20,5.99,smoke
268,Taylorville,US,39.5489,-89.2945,88.83,79,0,10.36,clear sky
269,Acarau,BR,-2.8856,-40.12,83.82,67,28,12.37,scattered clouds
270,Wilmington,US,34.2257,-77.9447,89.98,71,0,8.05,clear sky
271,Belmonte,BR,-15.8631,-38.8828,80.22,65,19,7.18,few clouds
272,Caceres,ES,39.522,-6.3748,105.01,11,61,9.8,broken clouds
273,Beringovskiy,RU,63.05,179.3167,39.81,87,98,9.22,overcast clouds
274,Pitimbu,BR,-7.4706,-34.8086,84.79,71,14,8.99,few clouds
275,Salem,IN,11.65,78.1667,87.03,52,97,5.66,overcast clouds
276,Yumen,CN,40.2833,97.2,75.38,7,0,17.02,clear sky
277,Aviles,ES,43.5547,-5.9248,69.19,78,75,13.8,broken clouds
278,Ayios Ioannis,CY,34.8959,33.0204,67.01,56,34,10.67,scattered clouds
279,Deputatskiy,RU,69.3,139.9,51.04,57,25,4.34,scattered clouds
280,Lorengau,PG,-2.0226,147.2712,82.6,74,67,11.92,broken clouds
281,Mochudi,BW,-24.4167,26.15,73.99,28,0,4.94,clear sky
282,Najran,SA,17.4924,44.1277,102.85,8,11,13.94,few clouds
283,Dharur,IN,18.8167,76.1167,85.46,47,96,11.05,overcast clouds
284,Havelock,US,34.8791,-76.9013,87.75,83,19,5.01,few clouds
285,Ekibastuz,KZ,51.6667,75.3667,71.91,51,56,4.05,broken clouds
286,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,70,31,11.34,scattered clouds
287,Gao,ML,16.6362,1.637,105.66,15,3,7.9,clear sky
288,Dukat,RU,62.55,155.55,35.38,80,6,3.36,clear sky
289,Boddam,GB,57.4667,-1.7833,64.44,89,100,5.53,overcast clouds
290,Omagh,GB,54.6,-7.3,59.22,65,100,9.73,overcast clouds
291,Bonfim,BR,3.0833,-59.95,82.53,70,67,2.04,broken clouds
292,Nizhniy Tsasuchey,RU,50.5167,115.1333,59.27,65,45,4.54,scattered clouds
293,Ndjole,GA,-0.1783,10.7649,82.36,76,100,3.53,light rain
294,Itaituba,BR,-4.2761,-55.9836,84.36,74,75,4.61,broken clouds
295,Hvide Sande,DK,56.0045,8.1294,60.1,67,75,16.11,broken clouds
296,Carauari,BR,-4.8828,-66.8958,77.13,64,84,5.97,broken clouds
297,Celestun,MX,20.8667,-90.4,84.6,64,98,9.98,overcast clouds
298,Kichera,RU,55.9375,110.0997,53.37,93,67,2.66,light rain
299,Mlonggo,ID,-6.5333,110.7,78.13,82,100,4.45,overcast clouds
300,Buala,SB,-8.145,159.5921,78.69,84,100,5.66,overcast clouds
301,Mahenge,TZ,-8.6833,36.7167,68.11,53,51,2.08,broken clouds
302,Mitu,CO,1.1983,-70.1733,69.01,99,100,1.5,overcast clouds
303,Tilichiki,RU,60.4667,166.1,41.54,79,68,4.27,broken clouds
304,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,67.19,30,6,6.64,clear sky
305,Victoria,HK,22.2855,114.1577,84.96,86,93,11.99,moderate rain
306,Sabancuy,MX,18.9667,-91.1833,83.93,65,56,9.15,broken clouds
307,Korla,CN,41.7597,86.1469,89.33,8,0,3.4,clear sky
308,Husavik,IS,66.0449,-17.3389,53.49,71,99,7.63,overcast clouds
309,Ostersund,SE,63.1792,14.6357,59.61,62,0,5.75,clear sky
310,Nabire,ID,-3.3667,135.4833,75.38,94,99,3.94,overcast clouds
311,Khorixas,NA,-20.3667,14.9667,79.95,21,1,13.53,clear sky
312,Neepawa,CA,50.2289,-99.4664,59.4,93,100,6.8,moderate rain
313,Pitanga,BR,-24.7572,-51.7614,56.84,54,0,5.21,clear sky
314,College,US,64.8569,-147.8028,61.2,73,75,6.91,haze
315,Aksarka,RU,66.5606,67.7975,41.95,85,100,20.22,light rain
316,Victor Harbor,AU,-35.5667,138.6167,49.68,75,60,9.71,light rain
317,Habra,IN,22.8344,88.6275,91.96,65,90,18.77,overcast clouds
318,Bengkulu,ID,-3.8004,102.2655,76.95,85,97,3.44,moderate rain
319,Kununurra,AU,-15.7667,128.7333,55.38,82,0,1.14,clear sky
320,Adrar,MR,20.5022,-10.0711,105.75,14,14,5.53,few clouds
321,Hualmay,PE,-11.0964,-77.6139,64.2,77,70,5.19,broken clouds
322,Bogovarovo,RU,58.9785,47.0246,67.48,53,29,2.01,scattered clouds
323,Tateyama,JP,34.9833,139.8667,67.1,70,100,13.44,overcast clouds
324,Abu Samrah,SY,35.3029,37.1841,77.97,43,0,24.4,clear sky
325,Thinadhoo,MV,0.5333,72.9333,84.06,70,75,5.41,broken clouds
326,Sao Filipe,CV,14.8961,-24.4956,76.35,68,1,15.77,clear sky
327,Lianran,CN,24.9227,102.485,57.74,81,100,9.15,moderate rain
328,Tampilisan,PH,8.0167,122.6833,74.25,91,100,1.07,overcast clouds
329,Pronsk,RU,54.1048,39.6092,67.37,81,83,8.05,broken clouds
330,Carballo,ES,43.213,-8.691,88.02,68,20,9.13,few clouds
331,Ishigaki,JP,24.3448,124.1572,82.53,100,75,11.5,broken clouds
332,Iskateley,RU,67.6803,53.1512,63.5,32,100,11.45,overcast clouds
333,Zhezkazgan,KZ,47.8043,67.7144,78.78,27,75,20.13,broken clouds
334,Leshukonskoye,RU,64.8989,45.7622,65.61,58,100,8.48,overcast clouds
335,Tezu,IN,27.9167,96.1667,73.81,96,100,3.42,overcast clouds
336,Senekal,ZA,-28.3197,27.6208,55.9,36,93,5.41,overcast clouds
337,Gat,IL,31.61,34.7642,79.79,100,0,12.8,clear sky
338,The Valley,AI,18.217,-63.0578,87.66,65,40,18.41,scattered clouds
339,San Cristobal,VE,7.7669,-72.225,73.58,76,83,6.31,broken clouds
340,Qiongshan,CN,20.0058,110.3542,82.38,94,0,2.24,clear sky
341,Ericeira,PT,38.9627,-9.4156,91.06,45,0,8.05,clear sky
342,Fortuna,US,40.5982,-124.1573,55.92,82,100,9.22,overcast clouds
343,Tura,IN,25.5198,90.2201,74.41,96,98,4.07,overcast clouds
344,Manggar,ID,-2.8833,108.2667,80.58,77,56,3.44,broken clouds
345,Faanui,PF,-16.4833,-151.75,79.32,66,7,19.89,clear sky
346,Crestview,US,30.7621,-86.5705,87.35,79,40,5.75,scattered clouds
